name,age,grade
Pamela Scott,22,A
Shawn Blake,25,C
Clarence Martinez,21,A
Cheryl Mcgrath,19,C
Alison Ferguson,18,C
Kristen Duran,19,D
Ashley Morris,25,D
Sandra Anderson,20,A
Ashley Hogan,23,D
Savannah Cooper,21,B
William Mueller,19,A
John Jordan,18,A
Sarah Mata,19,D
John Martin,24,A
Bianca Perkins,21,B
Tina West,19,C
Ashley Jordan,25,A
David Callahan,23,B
Monica Ramos,23,D
Andrew Rivera,23,B
Wesley Washington,21,A
Terry Howard,20,D
April Fox,22,B
Linda Nguyen,19,C
Brianna Hurst,25,D
Micheal Ellis,18,D
Alec Snyder,18,B
Steven Rodriguez,22,B
Erica Russo,24,B
Levi Jenkins,21,C
Jonathan Gonzalez,19,D
Wesley Bridges,25,A
Alexander Gallegos,23,B
Alexis Waters,20,C
Patrick Espinoza,23,C
James Montgomery,23,D
Shannon Ellison,23,D
Stephanie Hogan,22,A
Yvonne Bell,20,C
Steven Hebert,25,A
Amanda Barnes,23,A
Patricia Lopez,22,B
Makayla Gonzalez,18,B
Melinda Brooks,22,C
Robert Edwards,22,D
Michael Bartlett,18,A
Jeremy Mcgee,20,B
Laura Randall,24,C
Zachary Carlson,22,C
Donna Fernandez,19,A
Gregory Burke,24,B
Jasmine Price,25,C
Courtney Ramos,22,C
Travis Hall,25,C
Karen Dominguez,22,A
Lindsey Smith,22,D
Alan Schmitt,22,A
Susan Ortega,25,C
William Sawyer,22,B
Adam Shaw,23,B
Timothy Moore,21,C
Jesus Weber,24,D
Emily Graham,22,A
Donald Swanson,20,B
Scott Anderson,22,B
Joseph Mccarty,19,A
Jillian Martinez,21,D
Mary Rosales,25,C
Erin Atkinson,18,D
Emily Kent,23,B
Philip Petty,20,D
Carla Gomez,23,A
Wayne Hodge,23,C
Claire Clark,25,B
Morgan Smith,21,D
Jimmy Erickson,20,D
Jane Brown,23,D
Robert Terry Jr.,18,D
Carla Hudson,21,A
Dr. Rebecca Friedman MD,19,D
Robert Knapp,19,D
Kevin Ortega,21,D
Patricia Adams,20,A
Zachary Clarke,18,B
Amber Gomez,20,B
Heather Wright,19,A
Jessica Hall,24,A
Melissa Norman,23,C
Joseph Watson,25,A
Charles Payne,25,B
George Parrish,25,A
Luis Gomez,23,B
Cindy White,23,A
Mr. Ricardo Elliott,18,A
Tracy Melton,25,D
Melissa Miller,19,C
Stephanie Neal,25,C
Diane Brown,22,C
Mary Barrett,24,C
Lisa Hardin,21,C
Monica Evans,23,B
Peter Green,22,A
Christopher Morse,24,D
Thomas Graham,24,D
Jade Simon,19,C
Michelle Scott,23,D
Tim Nelson,22,A
Stacey Rogers,20,D
Courtney Reyes,19,B
Beverly Green,19,B
Melissa Gay,21,C
Emily Cline,20,B
Joseph Jacobs,19,D
Derek Hunter,25,D
Robert Skinner,24,B
Thomas Gonzalez,25,B
Jordan Smith,18,A
Sarah Butler,22,D
John Nguyen,21,D
Alisha Cisneros,18,A
Brian Moore,21,C
Joseph Hardin,25,B
Christopher Weiss,19,D
William Hamilton,19,C
Wendy Vang,23,A
Lisa Poole,21,D
Mikayla Carroll,20,D
Rebecca Daniels,22,D
Kenneth Gray,25,B
Kelsey Patterson,25,C
Annette Dixon,22,A
Yolanda Silva,20,B
Rebecca Perez,23,B
Patrick Rowe,19,C
Mia Aguirre DDS,21,A
Tiffany Ewing,22,B
Cheryl Butler,19,A
Tiffany Molina,19,D
Justin Dickson,22,D
Ashley Bowman,19,C
Lisa Lawson,20,A
Crystal Scott,18,B
Robert Brown,18,D
Jessica Combs,20,C
Robin Crawford,23,C
Mark Wagner,24,C
Courtney Gallagher,22,A
Richard Roach,25,C
Mrs. Vickie Mejia,25,A
Derek Patrick,24,D
Jordan Berry,22,B
Julia Herrera,24,D
Patrick Bennett,20,B
Diane Vasquez,25,D
Eric Dean,19,A
Amy Sanchez,25,A
Alexander Smith,20,D
Susan Stewart,21,D
Michael Morrison,21,C
Shawn Taylor,18,B
Kaitlin David,18,A
Christine Manning,21,B
Julie Vazquez,24,B
Kim Booth,25,A
Sarah Brown,20,B
Kathy Parker,19,A
Kevin Andrews,23,A
Dustin Ray,23,D
Jo Moore,23,B
Nicholas Brown,18,D
Douglas Smith,20,A
Jacob Smith,18,D
Angela Phillips,25,A
Amber Adams,23,B
Jacob Garcia,21,C
Theresa Rice,22,B
Sabrina Williamson,24,C
William Salas,18,D
Mark Hamilton,18,D
Miranda Williams,22,B
Valerie Garcia,19,D
Matthew Stanley,21,C
Randy Alvarez,21,B
Cheryl Clark,18,C
James Phillips,23,B
Brian Smith,18,D
Tony Kent,25,A
Patricia Gray,24,B
Mr. Jeffrey Myers,23,C
Dr. Gabriella Thomas,22,C
John Day,21,D
Brandon Carter,22,A
Aaron Martinez Jr.,19,C
Jill Bailey,19,A
Jennifer Russell,20,D
Andrew Graves,23,A
Sonia Walker,21,D
Larry Kaufman,18,D
Michael Williams,25,C
Courtney Barrett,19,D
Monica Jones,22,C
Thomas Wagner,19,A
Matthew Clark,19,C
Hannah Flores,23,D
Kelly Harvey,23,B
Edward Moon,24,B
Larry Fields,21,C
Amy Barnes,25,A
Jose Martinez,23,C
Charles Hahn,18,A
Christopher Montgomery,21,B
Laura Whitaker,18,B
Michael Oconnor,25,A
Julie Gilbert,22,C
William Guerra,20,D
Scott Gilbert,25,A
Dustin Macdonald,25,B
Angela Curtis,20,D
Sherry Howard,25,A
Alexander Smith,23,B
Brian Edwards,20,C
Steven Bird,23,B
Sean Brown,19,A
Steven Tucker,24,A
Hailey Goodwin,24,C
Jessica Gross,22,C
Brandon Wu,19,C
Mary Butler,20,C
Erica Lee,24,B
David Mcconnell,18,C
Ronald Armstrong,25,B
Victoria Russell,24,D
Devin Navarro,20,B
Robin Vincent,19,B
Donald Torres,20,C
Richard Weaver,22,D
Samantha Hull,20,B
Amy Sanders,25,B
Michele Peters,19,C
Brenda Chapman,21,D
Jonathan Mckinney,19,A
Kenneth Davis,24,D
Shawn Fernandez,20,A
Ricky Walker,19,C
James Alexander,19,C
Randy Smith,23,B
Melinda Holmes,20,C
Molly Bradford,20,B
Angela Wright,22,D
Jennifer Morgan,21,A
Sarah Valencia,21,B
Christine Harris,22,C
William Allison,24,B
Bryan Cowan,22,A
Bryan Green,25,B
Edward Walton,21,D
Lisa Sanders,22,A
Rebecca Dean,21,A
Shannon Thomas,21,B
Michele Heath,24,C
Tiffany Ballard,21,B
Emma Carpenter,23,A
John Gomez,25,C
Russell Peterson,20,A
Patricia Hammond,25,D
Jade Pham,20,C
Jeremy Sheppard,20,D
Sean Meyer,25,C
Connie Salinas,24,D
Jonathan Ruiz,22,B
Pamela Villarreal,23,A
Heather Richardson,25,D
Cheryl Lopez,19,A
Nathaniel Collins,24,C
Mark Spencer,21,A
Ashley Jacobs,23,D
Kendra Morris,20,A
Jose Padilla,22,A
Jasmine Davis,19,C
Marcus Jackson,23,D
Michael Wilson,20,B
Amanda Morris,25,D
Kerri Gillespie,23,A
Michael Brown,21,D
Annette Moore,21,A
Matthew Buck,24,B
Michael Rhodes,23,A
Richard Newman,19,D
Shannon Cowan,20,C
Robert Williams,18,A
Gerald Wallace,22,A
Chase Kelly,20,A
Steven Rodriguez,21,A
Aaron Cannon,20,B
Allison Cain,18,B
Travis Ortega,21,A
Colton Thomas,23,B
Grant Henry,19,D
Christina Wilson,23,C
Richard Roman,23,C
Cheryl Gould,22,B
Brittany Garcia,22,B
Nathan Alvarado,23,A
Amanda Gonzalez,22,D
Nancy Anderson,23,D
Brian Fisher,18,C
Joshua Mora,23,D
Emily Hughes,25,B
Mrs. Jenna Rios,20,D
Samantha Dominguez,23,A
Mr. Douglas Harris,23,D
Robin Ortega,19,C
Cheryl Collins,18,C
Mark Smith,21,A
Jody Martin,21,D
Katrina Rowland,19,B
Sherri Becker,22,A
Kathryn Kelly,23,A
Jason Morales,21,C
Karen Collins DDS,18,B
Katie Taylor,24,D
Robert Herman,24,A
Morgan Cohen,18,B
Angela Rivas,24,D
Tiffany Lucas,18,B
Scott Brown,19,A
Matthew Jackson,19,C
Shari Smith,18,C
Dawn Smith,19,A
Joshua Phillips,24,C
Andre Barnes,24,B
Derrick Acosta,23,B
David Parker,20,A
John Davidson,21,B
Andrea Walton,19,B
Jesus Fry,23,A
Raymond Hill,22,A
Jonathon Weaver,19,B
Matthew Crawford,20,C
Teresa Mendoza,21,D
Debra Carter,19,D
Dawn Harris,24,A
Taylor Gonzalez,24,B
Stephanie Lyons,25,B
Michelle Cruz,18,D
Kimberly Smith,18,A
Cindy Davis,20,D
Michael Kelly,19,D
Richard Mccoy,23,B
Toni Prince,25,A
Anthony Donaldson,23,D
Jenna Erickson,21,D
Kristin Scott,24,B
Michael West,21,D
Margaret Bass,20,C
Jennifer Chan,23,D
Mary Solis,23,B
Natalie Walker,20,C
Nicole Rodgers,21,D
Cynthia Andrews,18,D
David Roberts,21,C
Monique Butler,24,B
John Robinson,20,D
Theresa Hale,22,A
Debbie Jackson,22,D
David Williams,24,B
Anthony Gray,25,B
Kristen Thomas,18,D
Brittany Kidd,23,C
David Howell,18,B
Justin Jackson,22,C
Shane Foster,25,C
Brenda Mccoy,25,B
Ryan Russo,20,A
Ricky Bennett,18,D
Joseph Mcbride,18,A
David Thomas,24,B
Jeffrey Simmons,20,D
Jennifer Harper,21,C
April Sanchez,25,C
Emily Brown,23,A
Loretta Cunningham,19,A
Kathy Adams,22,D
Ashley Davis,18,C
Wendy Walker,22,D
Carla Rodriguez,25,C
Walter Davenport,19,A
Aaron Murphy,23,C
Mrs. Jennifer Dunlap,19,C
James French,25,A
Leah Wood,25,A
Gabriel Hammond,23,C
Nicholas Evans Jr.,23,D
David Hayes,20,C
Courtney Howard,18,A
Dr. Brooke Castro,18,D
Jesse Thomas,19,D
Bonnie Jones,18,D
Lisa Holmes,23,A
Veronica Collins,22,C
Mark Norman,24,D
Richard Montgomery,24,D
Tracy Martin,24,D
Matthew Leach,18,C
Jennifer Evans,18,C
Kristen Phillips,21,D
Julia West,23,D
Anne Ramos,21,B
Miss Marissa Gutierrez DVM,24,C
Melissa Day,18,A
Brett Kim,20,B
Angela Thompson,25,C
Jason Murillo,24,D
Julie Miller,22,C
Patricia Green,25,B
Alison Jimenez,24,C
Andrew Romero,18,B
Kevin Mitchell,21,A
John Boone,24,D
Catherine Caldwell,24,D
Laura Moore,25,B
Glenn Rogers,18,C
Jonathan Middleton,20,C
Andrew Wright,23,D
Amber Bennett,19,C
Charles Myers,22,D
Victoria Bowman,24,D
Brianna Rogers,24,B
Sara Hunter,18,D
Carol Pierce,18,B
Ronald Navarro,25,B
Dustin Rogers,18,B
David Warren,18,C
Kevin Odom,24,A
Crystal King,18,B
Aaron Shepherd,24,A
Jeffrey Ford,25,D
Ellen Rogers,19,A
Yvonne Oneill,23,B
Valerie Thompson,20,A
Adam Mccarthy,22,D
Dustin Arias,23,A
Sharon Parrish,18,C
Dustin Nielsen,21,D
Megan Adams,25,C
Andrew Cordova,20,B
Kristina Sexton,22,C
Julie Martin,20,A
Debra Jones,22,C
Ariel Thomas,23,A
Joseph Underwood,25,B
Richard Scott,19,C
Shannon Collins,21,A
Tony Torres,25,A
Douglas Mathis,25,B
William Cortez,24,B
Brian Church,20,B
Jill Miller,22,A
Emily Becker,25,C
Michael James,25,B
Stacy Smith,25,A
Sierra Combs,19,B
Ms. Mary Brewer DVM,22,B
Elizabeth Cummings,24,A
David Montgomery,24,D
Angel Rogers,21,C
Luke Rodriguez,24,A
Andrea Archer,18,D
Deanna Marshall,19,A
Jasmine Rice,20,B
Brenda Skinner,22,A
Christine Bullock,20,C
Leonard Martinez,24,B
Joshua Davidson,23,A
Kayla Williams,22,D
Craig Smith,23,C
Rachel Ball,18,A
Theresa Hutchinson DDS,20,D
Edward Mcneil,20,A
Geoffrey Jones,25,D
Randall Lopez,19,C
Nancy Carpenter,23,B
Paul Obrien,19,A
Barbara Lambert,23,D
Joshua Gonzalez,22,C
Nicholas Miller,23,D
Brandon Gonzalez,19,B
Brian Ashley,23,C
Francisco Williams,19,B
Trevor Mitchell,18,A
Joseph Wood,19,C
Danielle Cooke,22,C
Cory Johnson,25,D
Linda Gilmore,25,C
Brian Hodges,25,B
Sherri Zamora,25,C
David Greene,19,D
Kimberly Clarke,23,D
Dillon Hubbard,22,B
Crystal Patterson,23,A
Zachary Gordon,22,D
Vanessa Brooks,20,D
Denise Wolf,23,B
Joseph Morris,20,B
Jennifer Bradford,20,A
Zachary Blackwell,18,D
Jacob Smith,24,D
Robyn Foley,21,D
Taylor Harris,20,D
Christine Thomas,24,A
Mike Velasquez,18,B
Katie Gray,20,C
Charlotte Vargas,20,A
Rebecca Ray,24,A
Kristen Stafford,20,B
Jamie Norman,24,C
Frances Garcia,25,C
James Carpenter,25,A
Stephanie Payne,24,D
Dr. Meredith Chavez,19,A
Joy Hanna,23,C
Martha Cole,24,A
Erica Carroll,19,A
Jeffrey Moreno,22,B
Dominique Ramsey,24,B
Daniel Gilmore,21,B
Mrs. Lauren Green,19,B
Alex Nunez,23,A
Michael Morris,19,B
Nicholas Stewart,25,B
Jordan Rivas,21,C
Alejandro Molina,21,A
Christina Gallegos,24,C
Justin Johnson,25,D
Jonathan Allen,18,D
Sarah Jones,21,A
Amanda Carter,19,D
Christopher Phillips,23,C
Ashlee Arnold,19,A
Charles Hardy,20,B
Emily Holmes,19,D
Scott Fernandez,19,C
Brenda Dean,25,C
Nicole Austin,24,A
Antonio Meyers,22,D
Anita Perry,22,D
Juan Rogers,22,A
Michael Yates,19,A
Brenda Knapp,25,B
Courtney Perez,25,C
Julia Wells,22,B
Michael David,25,A
Stephen Perry,22,D
Amanda Smith,20,A
Catherine Gray,19,D
Jaime Lynch,20,A
Eugene Hampton,19,C
Katrina Mercado,25,A
George Aguilar,25,D
Alexander Cruz,18,B
Jessica Tucker,20,B
Adam Rodriguez,20,D
Nathaniel Herrera,20,C
Cheryl Warren,23,D
Andrea Hood,20,D
Lisa York,21,C
Christopher Peterson,22,C
Samantha Walker,23,B
Christopher Wilson,20,A
Edward Cline,23,D
Linda Anderson,20,D
Anthony Maynard,23,C
Gary Stone,22,C
Cindy Jackson,18,B
Cynthia Morris,21,A
Gina Christensen,24,D
Maria Thomas,24,B
Jeffery Williams,22,B
Laura Carney,24,D
Tammy Dixon,18,A
Andrea Rocha,22,B
Julie Anderson,20,A
Thomas Gonzalez,18,D
Christina Taylor,23,B
James Ruiz,20,B
Steven Davis,25,C
Jose Lynch,18,B
Wendy Woods,22,A
Joshua Webb,23,B
Debra Rodriguez,21,C
Vicki Thomas,21,C
Sean Dalton,18,A
Mitchell Evans,24,C
Kirsten Cole,23,B
Dr. Larry Ray,20,A
Cassandra Casey,18,C
Jennifer Mays,18,C
Stacy Turner,18,C
Caitlin Diaz,18,D
Mr. Eugene Jordan,24,B
Shannon Gilbert,20,D
Tamara Buckley,21,A
Jasmine Edwards DVM,23,B
Valerie Johnson,19,A
Michael Weaver,18,C
William Robinson,22,C
Michael James,19,A
Jeff Webster,19,B
Tracy Martinez,23,A
James Carter,20,B
Lindsay Thomas,19,B
Ana Ellis,19,B
Brittany Gentry,25,D
Ashley Lee,22,B
David Taylor,24,C
David Hall,19,C
Stacy Hogan,20,B
Hannah Lambert,18,A
Julia Holt,19,D
Karen Richards,20,D
Logan Davis,23,B
Robin Reed,19,C
Raymond Sanders,19,A
Kyle Graham,18,A
Kimberly Brown,25,B
Christopher Estrada,19,A
Carl Gaines,18,C
Christopher Baker,24,C
Albert Meyer,23,C
Rachel Walters,22,C
Jimmy Blackwell,23,A
Daniel Hernandez,19,A
Alex Cox,24,B
Adriana Johnson,19,B
Claire Bell DVM,22,B
Steven Goodman,20,C
Kevin Lopez,20,C
David Scott,19,D
David Shepherd,19,A
Matthew Marshall,21,D
Jade Phillips,23,B
Paul Levy,18,C
Christopher Payne,21,D
Rita Hicks,18,A
Meagan Simpson,23,C
Jake Morrison,24,D
Nicole Morris,24,B
Stephen Torres,18,A
Mark Holmes,24,B
John Mitchell,20,D
Heather Moore,25,B
Megan Roberts DDS,25,D
Bianca Dawson,22,C
Jason Hendrix,25,A
Katherine Olson,20,B
Patricia Nixon,24,D
Maria Brady,19,D
Alicia Shelton DDS,22,C
Ashley White,25,A
Melinda Stevenson,24,B
Kirsten Davis,25,B
Jennifer Mitchell,19,B
Sherry Gonzalez,19,C
Shirley Morgan,25,A
Ryan Nelson,21,C
John Hall,18,A
Cynthia Hawkins,20,C
Ethan Morales,24,A
Daniel Bailey,18,D
Elizabeth Harvey,21,C
Kristin Jones,24,A
Christopher Reed,21,D
Tony Woods,25,B
Sarah Parrish,20,D
Cody Boyd,25,C
Nicholas Case,19,C
Andrew Suarez,20,D
James Martin,25,B
Devin Lee,18,A
Ronald Osborn,18,C
Timothy Garcia,21,C
Brian Reeves,24,B
Kelsey Fernandez,24,B
Jacqueline Lopez,19,D
Justin Roberson,19,A
Cory Davis,21,D
Amanda Smith,25,C
Shelby Anderson,23,D
Julie Mendoza,24,A
Andrew Moreno,25,B
Sandy Mann,23,D
John Perez,25,B
Denise Cunningham,18,A
Brandi Murphy,20,A
Nancy Thompson,23,A
Lisa Sanchez,22,C
Megan Crawford,25,D
Amanda Cummings,18,B
Jeanne Kim,22,A
Amber Cox,24,D
William Smith,25,A
Richard Davis,19,A
Mrs. Kelli Spears,23,C
Michelle Moss,20,C
Lori Mcneil,18,C
Amy Mccullough,23,D
Caroline Smith,24,D
Nicole Fernandez,25,D
Richard Moore,25,B
Amy Reeves,20,B
Denise Johns,19,C
Alison Willis,20,D
James Haney,23,C
Robin Smith,23,D
Jesse Owen,25,B
Michelle Edwards,21,C
April Beck,21,B
Elizabeth Stafford,19,B
Kenneth Lamb,23,C
Douglas Mullen,21,B
Monique Scott,24,D
Katrina Hamilton,20,B
Jacqueline Ray,20,C
Samantha Simmons,21,B
Eric Williamson,19,B
Samuel Castillo,23,B
Brandon Estrada,23,C
David Mclean,19,B
Leslie Thomas,20,C
Mason Cox,25,C
Erik Allen,25,A
Jeff Bates,19,B
Douglas Knight,24,A
Jennifer Wallace,18,C
Melissa Rodriguez,21,B
Eric Reese,21,C
Lindsey Duke,20,B
Gina Jones,24,D
Robert Hernandez,22,A
Kyle Schmidt,19,D
Walter Snyder,19,B
Tammy Lewis,23,A
Isaiah Lopez,19,A
Aaron Knox,20,D
Amanda Brown,19,B
Nicholas Morgan,19,B
Micheal Bennett,19,D
Martin Flores PhD,20,C
Jaime Terry,20,A
Chelsea Logan,19,D
Natalie Andrade,24,B
Joel Alexander,18,C
Diana Peters,20,B
Alejandro Herrera,22,A
Joseph Flores,20,A
Carlos Brown,23,A
Kari Melendez,25,A
Danielle Poole,20,A
Paula Boone,23,B
Dana Richardson,23,C
Charles Harrison,22,D
Linda Obrien,24,C
Steven Bailey,25,B
Derrick Mcdaniel,23,A
Patrick Gaines,18,B
Carol Leon,25,C
Katherine Foster,19,C
Kathleen Brown,23,B
Taylor Nelson,24,A
Ryan Smith,20,C
Alexis Woods,18,C
Maxwell Bauer,21,A
Jeremy Rogers,19,B
Cheyenne Stephens,20,A
William Ewing,18,B
Kimberly Williams,24,C
Kimberly Bird,22,B
Willie Hudson,25,C
Bryan Spencer,23,B
Taylor Moore,20,D
Brittany Bradley,22,C
Katie Watson,18,A
Laura Nelson,22,A
Linda Lee,21,D
Jennifer Jones,21,A
Charles Flores,21,C
Christopher Hernandez,25,B
Colin Mason,24,A
Michael Rodriguez,25,D
Charles Coleman,20,B
Bryan Mathis,21,B
Nancy Duke,19,A
John Pugh,25,B
Denise Lucas,18,D
Dominic Garcia,20,A
Vanessa Marquez,19,B
Terry Mcpherson,23,C
Kathy Jordan,24,B
Natalie Leonard,18,C
Jessica Reyes,19,C
James May,21,C
David Wilson,19,B
Brian Brock,19,D
Linda Mills,21,A
John Davenport,21,D
Kathleen Phillips,25,C
Kyle Carter,24,D
Jeffrey Brown,24,D
Alexis Schaefer,21,C
Ashley Smith,20,D
Sarah Berger,18,B
Jessica Lowe,20,A
Martha Larson,21,B
Blake Rios,18,A
Danielle Douglas,19,C
Dr. Ryan Mann,20,B
John Manning,24,C
Jonathan Roth,18,C
Sara Davis,18,D
Christopher Yoder MD,19,A
Anthony Jackson,25,D
Thomas Burke,25,B
Justin Hunter,19,A
Steve Marshall,25,D
Michelle Morales,25,B
Mrs. Debra Craig,18,C
Steven Valentine,25,A
Chelsea Chambers,23,D
Jordan Martin Jr.,23,B
Robert Nguyen,18,C
Christina Baker MD,23,B
Todd Payne,22,C
Ronald Sanchez,20,D
Maria Holmes,18,D
Steven Singleton IV,18,C
Kaitlyn Rogers,20,C
David Rivera,18,B
John Evans,21,B
Laura Richards,19,B
Chad Mcknight,18,A
Amy Huang,24,A
Mark Cooper,20,D
Heather Hebert,18,D
Dorothy Moreno,23,B
Christy Young,22,C
Brian Marshall,25,A
Mary Hoffman,24,B
Jeffrey Lopez,22,D
Steven Duke,25,B
Jon Martin,25,B
Angela Stevens MD,22,A
Robin Steele,20,C
Darrell Smith,25,A
Rebecca Mullins,18,B
Carlos Peters,21,D
Jennifer Aguirre,23,C
Christina Wells,24,B
Clifford Young,19,C
Stacy Reyes,23,D
Christopher Kaiser,20,B
Nicole Watson,25,B
Elizabeth Perry,25,C
Jennifer Walker,22,A
Robert Robinson,21,B
Sarah Gray,25,B
Erica Doyle,19,D
Todd Newman,22,C
Carlos Herrera,18,D
Michael Summers,24,B
Rebecca Johnson,18,C
Lauren Brown,24,C
Samuel Woodard DVM,23,B
Steven Mercado,24,C
Jeremy Vincent,24,C
Robert Chambers,23,B
Katherine Brown,25,B
Anthony Barker,22,C
April Morton,21,A
Kenneth Bean,20,A
Matthew Turner,18,B
Joseph Richard,19,C
Alexander Saunders,19,B
Dr. Ana Patel,25,D
Karen Wagner,22,A
John Mendoza,18,B
Dr. John Nichols,18,B
Jennifer Russell,23,C
Christopher Smith,19,C
Michael Campbell,24,D
Douglas Powell,23,A
Carla Collins,23,D
Sherry Craig,24,C
Denise Butler,20,C
Mr. Brian Smith,20,C
Brittany Gomez,19,C
Monica Johnson,22,C
Katherine Robinson,21,C
Jason Friedman,21,C
Karina Rogers,21,A
David Little,24,A
Nancy Pacheco,25,B
Glenda Wilson,19,B
Todd Smith,21,B
Michael Hoffman,23,A
Cassandra Robinson,24,D
Joshua Robbins,20,C
Clinton Rose,21,A
Steven Freeman,19,C
Sandra Tapia,23,B
Monica Decker,18,A
Benjamin Perez,22,D
Mr. Justin Shepard,20,A
Jessica Fitzgerald,18,B
Angela Morrison,25,B
Angela Bailey,24,A
Sandra Pham,24,A
William Stuart,20,A
Olivia Green,24,B
Mary Davis,24,D
Ivan Moore,19,C
Jay Santiago,25,C
Paul Smith,24,C
Barbara Weaver,18,B
Matthew Gilbert,25,D
Travis White,25,D
Dominique Cummings,18,A
Holly Miller DDS,18,B
Kara Ramirez,25,D
Elizabeth Avery,20,B
Christopher Olsen,23,D
Steve Valencia,19,D
Michelle Walters,19,C
Amber Monroe,22,D
William Johnson,21,B
Gary Moran,21,A
Amanda Crawford,25,A
Marissa Lucas,25,B
Jeremy Le,22,B
Chad Mason,23,D
Brian Smith,23,D
Philip Garcia,23,B
Sheila Malone,18,C
Eric Johnson,19,D
Jackson Short,24,B
Elizabeth Jones,18,B
Monique Harvey,19,B
Andrew Gray,18,C
Matthew Robbins,22,A
Caitlin Barron,19,A
Adam Howard,23,C
Kimberly Pruitt,21,A
Mark Davis,19,D
Leah Maynard,24,A
John Jacobson,21,C
Nicole Valdez,23,C
Karen Fox,20,C
Anna Hall,18,D
Ann Ruiz,18,B
William Valdez,25,A
Thomas Robinson,21,A
Jonathan Williams,18,A
Andre Peck,22,D
David Foley,19,C
Christian Cox,25,B
Darren Davis,18,D
Samuel Walker,25,B
Jessica Davis,18,B
Bryan Jones,22,D
Claudia Reed,20,B
James Frazier,23,A
Patrick Burns,24,C
Lynn Taylor,20,A
Sheena Wilson,23,B
Justin Cox,22,A
Timothy Campos,20,B
Alexis Swanson,22,A
Shawn Baker,24,C
Michelle Cooke,25,C
Kirsten Jackson,18,B
Edward Woodard,20,A
Gloria Newman,20,A
Michael Jordan,18,D
Tara Mitchell,22,C
James Barnes,19,D
Yesenia Floyd,24,D
Diana Huffman,20,D
Melissa Pennington,24,C
Diane Jones,21,C
Reginald Mason,18,D
Jason Mcgrath,24,C
Catherine Hernandez,18,C
Austin Butler,23,B
Felicia Holmes,25,A
Robert Lewis,20,A
William Day,19,C
Jose Tucker,21,C
Tonya Bradford MD,18,D
Lawrence Torres,24,A
Jay Pierce,21,A
Charles Armstrong,20,D
Brenda Fox,20,B
Hannah Murphy,23,C
Gina Russo,24,A
Diana Marquez,21,B
Eric Barron,22,C
Maria Rivera,18,D
Mariah Tucker,24,C
Kelly Brady,25,C
Steven Patrick,19,A
Angela Mercer,23,D
Rose Velasquez,18,B
Suzanne Smith,23,D
Jamie Bradford,23,D
Jamie Ashley,18,A
Matthew Mcbride,19,B
Roger Christian Jr.,21,A
Bobby Colon,21,D
Brooke Arroyo,18,C
Jane Mathis,24,C
Felicia Wilson,20,C
Matthew Austin,23,B
Christopher Nelson,20,B
Amanda Mendoza,19,B
Katherine Guerrero,21,B
Bradley Williams,20,C
Benjamin Humphrey,24,B
Jaime Powell,18,A
Dale Allen,20,B
Joshua Reyes,22,C
Yolanda Skinner,25,A
Barbara Shaffer,24,D
Heather Cowan,18,C
Steven Ortega,25,C
Chase Black,18,C
Isabella Lewis,21,A
Andrea Barron,18,D
Andrew Woodward III,20,B
Jason Moore,23,C
George Turner,18,B
Tiffany Townsend,22,A
Wendy Harris,21,D
William Brooks,24,D
Kenneth Brooks,18,A
Mrs. Heather Rogers,25,A
Danielle Williams,19,B
Joseph Ramirez,24,B
Angela Smith,23,D
Ashley Green PhD,25,C
Donna Cox,20,A
Joseph Austin,22,C
Daniel Morris,22,A
Julie Reid,23,B
Melissa Ryan,18,C
Chad Parker,19,D
Jorge Mcdonald,18,A
Vanessa Mason,21,B
Rhonda Ballard,19,A
Justin Buckley,19,B
David Anderson,21,C
Kaitlyn Harris,23,A
David Villarreal,23,A
Michael White,21,A
Philip Cisneros,20,A
Tony Sanders,22,A
Stacey Schmidt,21,D
Eric West,24,D
Mr. William Young MD,22,D
Paula Jones,18,D
Joseph Bryant,21,A
Maurice Barker,23,D
Meagan Hall,25,D
Randall Stewart,20,C
Vanessa Stewart,20,A
Keith Castillo,25,A
William Ramos,21,D
Douglas Henry,23,D
Christina Pope,23,D
Justin Curtis,19,D
Gary Lopez,23,A
Kimberly Paul,23,B
Pedro Wright,24,D
Daniel Duran,23,D
Amy Ross,19,C
Nicholas Wong,21,B
William Jones,23,A
Amy Stout,22,C
Rebekah Allen,19,D
Angela Guzman,18,C
Timothy Brooks,24,B
Kristi Gibson,23,D
Yvette Hicks,22,A
Justin Rios,24,C
Jessica Holmes,18,A
Ryan Bonilla,25,A
Brian Gonzales,21,C
Lindsay Cuevas,18,C
Anthony King,23,D
Seth Wright,24,D
John Marshall,23,D
Karl Charles,23,D
Candace Sims,18,B
Amanda Brown,22,A
Craig Bennett,23,B
Jamie Blevins,23,C
Michele Chang,19,C
Andrew Perez,19,C
Drew Young,18,C
Samantha Dennis,18,C
William Rose,21,A
Christopher Diaz,24,C
Laura Murphy,23,D
Ashley Manning,20,B
Michael Cunningham,22,A
Amanda Hamilton,22,D
Patricia Jackson,19,A
Jennifer Garrett,24,C
Emma James,23,D
James Day,23,A
Sara Chung,25,A
Susan King MD,19,A
Christopher Fletcher,25,B
Felicia Marshall,20,A
Diana May,21,C
Thomas Castro,23,D
Monica Olson,20,D
Megan Carr,18,D
John Lopez,21,C
Adriana Levy,21,C
Michael Brown,24,C
Kim Burton,24,B
